title,platform,language,released,popularity,rating,total_rating_user
Shuffle!,"PlayStation 2,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Spanish,English",2004-01-30,24.94,6.77,3427
Kira☆Kira,"Android,Blu-ray Player,Apple iProduct,PlayStation 2,VNDS,Windows","Chinese,Japanese,Spanish,English",2007-11-22,24.84,7.51,2663
Grisaia no Rakuen -Le Eden de la Grisaia-,"PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Chinese,Japanese,English",2013-05-24,24.5,8.06,2275
Ao no Kanata no Four Rhythm,"Android,Apple iProduct,PlayStation 4,PlayStation Vita,Nintendo Switch,Windows","Chinese,Korean,Japanese,English",2014-11-28,24.34,8.34,2288
Princess Evangile,"Android,DVD Player,Apple iProduct,PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2011-07-29,23.96,7.4,2770
Swan Song,"Android,Windows","Chinese,Russian,Korean,Japanese,English",2005-07-29,23.83,7.62,2469
"Eden* They Were Only Two, On The Planet.","PlayStation Portable,Windows","Chinese,Korean,Japanese,Spanish,English",2009-09-18,23.4,7.6,2392
euphoria,"Android,Blu-ray Player,DVD Player,Windows","Chinese,Japanese,English",2011-06-24,23.3,7.36,2655
Sanoba Witch,Windows,"Chinese,Japanese,Spanish,English",2015-02-27,22.85,7.89,2306
Noble ☆ Works,Windows,"Chinese,Vietnamese,Polish,Korean,Japanese,Spanish,English",2010-12-24,22.43,7.36,2454
Wanko to Kurasou,"VNDS,Windows","Russian,Japanese,English",2006-04-14,22.23,6.85,3291
ef - a fairy tale of the two.,"PlayStation 2,VNDS,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2006-12-11,22.03,8.04,2081
Dies irae,"Android,Apple iProduct,PlayStation Portable,Nintendo Switch,Windows","Japanese,English",2007-12-21,21.25,8.1,1955
Neko Para Vol.2 Shimai Neko no Sucre,"Android,Apple iProduct,PlayStation 4,Nintendo Switch,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Spanish,English",2016-02-19,21.16,7.14,2763
Monmusu Quest! Shuushou ~Makereba Youjo ni Okasareru~,"Android,Linux,Mac OS,Windows","Chinese,Russian,Japanese,English",2013-06-01,20.94,8.13,2087
Chaos;Child,"Android,Apple iProduct,PlayStation 3,PlayStation 4,PlayStation Vita,Windows,Xbox One","Chinese,Korean,Japanese,English",2014-12-18,20.4,8.3,2087
School Days,"DVD Player,Mac OS,PlayStation 2,PlayStation Portable,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2005-04-28,19.91,6.58,2951
Kara no Shoujo - The Second Episode,"Linux,Mac OS,Windows","Chinese,Russian,Japanese,English",2013-02-08,19.76,8.38,1754
Remember11 -The Age of Infinity-,"Android,Apple iProduct,PlayStation 2,PlayStation Portable,Windows","Chinese,Russian,Japanese,English",2004-03-18,19.51,8.0,1937
Deardrops,"Android,Blu-ray Player,Apple iProduct,PlayStation Portable,Website,Windows","Japanese,Spanish,English",2010-06-18,19.25,7.5,2026
